Business Unit ,Country of participant,Course Title,Start Date,End Date,Duration Hours,Training offered,Category,Delivery Method,Product Type,Training Supplier ID,Learning Activity ID
DI SW DM R&D-MOM CYS,IT,Certified Ethical Hacker - CEHv10: Cryptography Concepts Part 2,20/1/22,20/1/22,1.12,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,80382985
DI SW DM R&D-MOM CYS,IT,Certified Ethical Hacker - CEHv10: Cryptography Attacks,20/1/22,20/1/22,0.57,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,80383123
DI SW DM R&D-MOM CYS,IT,Certified Ethical Hacker - CEHv10: Cryptography Concepts Part 3,20/1/22,20/1/22,1.25,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,80383385
DI SW DM R&D-MOM CYS,IT,Certified Ethical Hacker - CEHv10: Cryptography Concepts,20/1/22,20/1/22,1.2,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,80383462
DI SW DM R&D-MOM CYS,IT,ISO/IEC 27001:2013 Information Security Management Systems Training (ISO 27001:2013 TPECS),14/2/22,17/2/22,16,External,Technical and Technology Training,Virtual Instructor-led training (VILT),VIR - Virtual classroom,MANUAL$ - Entry via GLP 2.0 UI,80529901
DI SW DM R&D-MOM CYS,IT,Siemens Export Control Essentials,11/3/22,11/3/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81041371
DI SW DM R&D-MOM CYS,IT,CompTIA PenTest+ (PT0-002): Penetration Testing Tools,7/4/22,7/4/22,1.73,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220864
DI SW DM R&D-MOM CYS,IT,CEHv11: SQL Injection & SQLMap,7/4/22,7/4/22,0.7,External,Business Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220865
DI SW DM VA AN R&D,IT,UX Foundations: Interaction Design,21/10/21,21/10/21,3.468,External,Business Learning,Self-paced learning,ELE - eLearning,LXP105 - My Learning World - LinkedIn Learning,78949120
DI SW DM VA AN R&D,IT,Our BCG - Our Core - Siemens Business Conduct Guidelines,18/2/22,18/2/22,0.5,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80603134
DI SW DM VA AN R&D,IT,Siemens Export Control Essentials,7/3/22,7/3/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,81008543
DI SW DM VA AN R&D,IT,AWS Security Foundamentals,1/10/21,7/4/22,12,External,Technical and Technology Training,Self-paced learning,WBT - Web-based training,MANUAL$ - Entry via GLP 2.0 UI,81659234
DI SW DM VA AN R&D,IT,PSS-BT General Introduction,20/4/22,20/4/22,2.17,Internal,Product Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220866
DI SW DM VA AN R&D,IT,PSS-BT Security Threat and Risk Analysis,20/4/22,20/4/22,0.33,Internal,Product Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220867
DI SW DM VA AN R&D,IT,PSS-BT Secure Architecture and Design,20/4/22,20/4/22,0.33,Internal,Product Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220868
DI SW DM VA AN R&D,IT,PSS-BT Secure Coding,20/4/22,20/4/22,0.33,Internal,Product Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220869
DI SW DM VA AN R&D,IT,PSS-BT Security Testing,20/4/22,20/4/22,0.33,Internal,Product Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,82220870
DI SW DM VA AN R&D,IT,PSS@MOM General Awareness Training for R&D Team Members - 2022,21/4/22,21/4/22,1,Internal,Business Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,CBL100 - My Community Learning/Host,82014120
DI SW DM FND SIT,IT,"DM Learning Day: Guest Speaker: Make Peace with Time, Led by Cindy Dickinson",21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,79858489
DI SW DM FND SIT,IT,DM Learning Day - Building a budget,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80579591
DI SW DM FND SIT,IT,DM Learning Day - UX on the ROX!,21/10/21,21/10/21,0.75,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80581229
DI SW DM FND SIT,IT,DM Learning Day - SDL - Adding Supply chain & logistics to DM,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80583684
DI SW DM FND SIT,IT,Salesforce.com Essentials,3/11/21,3/11/21,1,Internal,Product Learning,Self-paced learning,WBT - Web-based training,PLM100 - Siemens PLM Software / Learning Center,79664907
DI SW DM FND SIT,IT,DM Learning Day - Guest Speaker: Presenting with Increased Presence,20/1/22,20/1/22,1.5,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80583378
DI SW DM FND SIT,IT,DM Learning Day - How the market is influenced by business analysts,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80702927
DI SW DM FND SIT,IT,DM Learning Day - Production Management Innovation driven by AI and ML,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705714
DI SW DM FND SIT,IT,DM Learning Day - Modular MOM – Quo vadis?,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705900
DI SW DM FND SIT,IT,DM Learning Day - Data Sources in DI SW,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80708093
DI SW DM FND SIT,IT,Siemens Export Control Essentials,10/2/22,10/2/22,0.333,Internal,Business Learning,Self-paced learning,ELE - eLearning,SABA10 - SABA Global Learning Campus,80488650
DI SW DM R&D-MOM INT R&D,IT,DM Learning Day - Manufacturing Engineering portfolio overview,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,79668361
DI SW DM R&D-MOM INT R&D,IT,DM Learning Day - DM Q-Gate handling with Polarion - Introductory session,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80582367
DI SW DM R&D-MOM INT R&D,IT,DM Learning Day - Getting more out of Excel,21/10/21,21/10/21,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80585773
DI SW DM R&D-MOM INT R&D,IT,DM Learning Day - Modular MOM – Quo vadis?,20/1/22,20/1/22,1,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80705907
DI SW DM R&D-MOM INT R&D,IT,DM Learning Day - Guest Speaker: Presenting with Increased Presence,20/1/22,20/1/22,1.5,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80708222
DI SW DM R&D-MOM INT R&D,IT,DM Learning Day - The 12 Agile Principles: What Are They and Do They Still Matter?,20/1/22,20/1/22,1.5,Internal,Product Learning,Virtual Instructor-led training (VILT),VIR - Virtual classroom,PLM100 - Siemens PLM Software / Learning Center,80711748
